Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Country,Year
Stone and Glass,1478968.30,4864886.05,1.10,2.43,0.91,7.42,7.50,0.15,0.15,345,11.01,88.99,0.00,0.00,5.00,0.00,0.00,298692.85,4566193.20,3.43,3.27,345,64.64,33.33,0.00,2.03,38.00,0.00,0.00,4297147.33,567738.72,Mexico,2006
Textiles and Clothing,5133234.79,7191281.95,3.83,3.59,1.21,0.09,-2.70,0.00,0.00,1262,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,7191281.95,9.14,11.02,1262,82.33,12.92,0.48,4.28,32.00,0.00,14652.00,7102654.78,88627.17,Mexico,2006
Transportation,14536736.48,33774724.51,10.84,16.85,1.08,6.61,6.17,0.00,0.00,182,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,33774724.51,3.42,7.61,182,55.49,44.51,0.00,0.00,25.00,0.00,0.00,33136248.19,638476.31,Mexico,2006
Vegetable,5082227.56,4887632.42,3.79,2.44,1.48,7.85,7.92,0.74,0.60,405,1.73,97.04,0.00,1.23,163.80,0.00,0.00,603177.85,4284385.00,4.02,4.39,405,32.35,22.47,0.49,44.69,163.80,0.00,160800.27,4633874.42,253688.42,Mexico,2006
Wood,4461881.72,1640557.84,3.33,0.82,1.36,4.94,4.57,0.00,0.00,381,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1640557.84,0.56,0.52,381,16.01,83.46,0.00,0.52,18.00,0.00,0.00,303463.27,1337094.57,Mexico,2006
All Products,136520317.27,212878005.16,100.00,100.00,1.00,4.92,3.43,0.10,0.04,7091,1.18,98.48,0.07,0.27,163.80,0.00,278888.85,46502922.40,158652993.13,3.79,1.84,7091,50.18,39.51,2.19,8.12,350.00,0.00,35438312.34,135365124.93,69790790.60,Mexico,2007
Capital goods,55356188.43,77998221.52,40.55,36.64,0.83,0.12,-0.49,0.00,0.00,1010,0.00,100.00,0.00,0.00,0.00,0.00,0.00,21998053.45,55644180.24,0.94,0.22,1010,28.61,70.30,0.69,0.40,16.00,0.00,23437.17,29396770.98,48245462.72,Mexico,2007
Consumer goods,35775600.83,71561158.13,26.21,33.62,1.10,4.58,2.35,0.09,0.04,2975,2.45,96.94,0.13,0.47,131.80,0.00,278823.90,22382609.77,49530181.94,5.32,3.38,2975,58.72,26.82,3.60,10.86,137.21,0.00,3929914.91,60346180.54,11566611.17,Mexico,2007
Intermediate goods,31230480.65,16707562.91,22.88,7.85,1.27,3.51,4.87,0.05,0.11,2438,0.21,99.67,0.00,0.12,84.18,0.00,0.00,1442552.41,15132785.18,3.88,1.78,2438,53.28,41.55,1.27,3.90,84.18,0.00,185924.67,8141040.99,8434296.59,Mexico,2007
Raw materials,8996529.27,38888972.97,6.59,18.27,1.42,6.13,8.01,0.60,0.08,573,1.05,98.43,0.17,0.35,163.80,0.00,64.95,679260.20,38057037.65,2.99,3.47,573,26.18,45.20,1.75,26.88,350.00,0.00,31299035.59,37343161.00,1393136.85,Mexico,2007
Animal,3017254.80,1160492.16,2.21,0.55,1.38,10.91,10.09,0.02,0.00,251,1.20,98.80,0.00,0.00,17.00,0.00,0.00,9658.65,1150833.52,5.53,2.29,251,31.08,30.28,1.99,36.65,115.91,0.00,3730.76,725891.57,434600.59,Mexico,2007
Chemicals,10142490.17,2569432.00,7.43,1.21,1.15,5.81,5.40,0.00,0.00,834,0.00,100.00,0.00,0.00,0.00,0.00,0.00,55914.36,2513919.51,2.63,1.98,834,61.03,37.89,0.00,1.08,6.50,0.00,0.00,1363109.10,1206724.78,Mexico,2007
Food Products,2849578.89,4849165.08,2.09,2.28,1.33,6.36,5.69,0.99,0.61,530,0.94,96.79,0.75,1.51,131.80,0.00,278823.90,517274.95,4331890.13,8.87,4.97,530,41.13,19.43,7.74,31.70,350.00,0.00,601207.94,2830203.96,2018961.12,Mexico,2007
Footwear,94940.21,290169.97,0.07,0.14,0.13,4.69,2.50,0.21,0.07,171,10.53,84.21,0.00,5.26,3.64,0.00,0.00,15845.24,274324.73,8.66,7.67,171,66.08,18.71,3.51,11.70,54.59,0.00,66308.46,286874.50,3295.47,Mexico,2007
Fuels,6795526.46,34516461.98,4.98,16.21,1.12,15.79,10.98,0.00,0.00,48,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,34516461.98,1.42,6.20,48,10.42,39.58,41.67,8.33,18.92,0.00,34122481.59,34122580.38,393881.60,Mexico,2007
Hides and Skins,570307.95,161098.94,0.42,0.08,0.69,-6.04,-15.74,0.00,0.00,199,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,161098.94,4.27,4.56,199,83.42,16.08,0.00,0.50,20.00,0.00,0.00,158855.36,2243.58,Mexico,2007
Mach and Elec,45483507.74,80084871.84,33.32,37.62,0.82,-2.86,-2.01,0.00,0.00,866,0.00,100.00,0.00,0.00,0.00,0.00,0.00,15833701.23,64266791.34,0.93,0.66,866,30.02,69.52,0.46,0.00,12.50,0.00,83268.57,41181749.16,38918743.41,Mexico,2007
Metals,11183200.53,9499061.52,8.19,4.46,1.18,2.00,4.18,0.01,0.04,738,0.14,99.86,0.00,0.00,10.00,0.00,0.00,1402600.03,8096461.49,1.40,1.28,738,36.72,58.40,3.79,1.08,15.00,0.00,88031.43,5061220.96,4437840.56,Mexico,2007
Minerals,381066.04,465254.35,0.28,0.22,0.58,-4.73,-10.27,0.00,0.00,78,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,465254.35,0.34,0.08,78,7.69,82.05,2.56,7.69,4.65,0.00,79969.86,111997.24,353257.11,Mexico,2007
Miscellaneous,11648139.59,22213357.72,8.53,10.43,0.32,39.94,1.37,0.00,0.00,558,0.18,99.82,0.00,0.00,0.90,0.00,0.00,2367198.49,12124069.60,2.30,0.73,558,39.07,49.10,6.99,4.84,32.00,0.00,103841.27,4946800.11,9544467.98,Mexico,2007
Plastic or Rubber,12234324.01,3930479.50,8.96,1.85,1.47,1.53,0.33,0.00,0.00,267,0.00,100.00,0.00,0.00,0.00,0.00,0.00,1112739.83,2802101.59,3.54,3.93,267,74.91,25.09,0.00,0.00,14.00,0.00,0.00,3662775.78,252065.64,Mexico,2007
Stone and Glass,1616602.02,4841260.11,1.18,2.27,0.98,6.28,8.69,0.09,0.08,341,13.49,86.51,0.00,0.00,2.50,0.00,0.00,726166.28,4115093.83,3.25,3.05,341,61.58,37.54,0.00,0.88,38.00,0.00,0.00,4227431.08,613829.03,Mexico,2007
Textiles and Clothing,4484932.76,6366095.42,3.29,2.99,1.18,-2.35,-4.80,0.01,0.00,1251,0.08,99.92,0.00,0.00,11.80,0.00,0.00,131397.32,6234698.10,9.31,10.95,1251,83.05,12.07,0.56,4.32,32.00,0.00,14204.93,6261374.29,104721.14,Mexico,2007
Transportation,15017854.92,34514365.86,11.00,16.21,1.11,3.77,3.66,0.00,0.00,150,0.00,100.00,0.00,0.00,0.00,0.00,0.00,23644185.19,10870180.68,1.27,0.08,150,31.33,68.67,0.00,0.00,14.00,0.00,0.00,24625175.73,9889190.14,Mexico,2007
Vegetable,6469668.78,5774702.26,4.74,2.71,1.55,11.82,12.67,1.00,0.56,404,2.23,97.03,0.25,0.50,163.80,0.00,64.95,686240.83,5088076.90,4.40,4.30,404,33.91,21.04,0.74,44.31,163.80,0.00,275267.51,5530986.56,243331.17,Mexico,2007
Wood,4530922.39,1641736.44,3.32,0.77,1.39,2.02,1.77,0.00,0.00,405,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1641736.44,0.73,0.46,405,20.00,78.77,0.00,1.23,18.00,0.00,0.00,268099.16,1373637.28,Mexico,2007
All Products,151524799.09,218066232.79,100.00,100.00,1.00,4.62,4.14,0.03,0.01,8148,1.41,98.29,0.02,0.27,135.53,0.00,235240.48,1373919.93,208973999.02,3.79,3.43,8148,55.92,34.41,2.01,7.66,350.00,0.00,44126603.40,160103163.47,50244755.48,Mexico,2008
Capital goods,58197526.02,76497027.63,38.41,35.08,0.77,7.50,3.33,0.00,0.00,1352,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,76146619.45,1.54,3.21,1352,46.67,52.44,0.52,0.37,25.00,0.00,26059.50,44066350.64,32080268.82,Mexico,2008
Consumer goods,40579805.58,70026955.58,26.78,32.11,1.10,6.43,5.99,0.05,0.03,3289,3.37,96.41,0.00,0.21,25.00,0.00,0.00,1059542.05,69308947.02,5.09,3.87,3289,61.90,24.41,3.65,10.03,131.80,0.00,5591233.12,62703692.56,7664796.52,Mexico,2008
Intermediate goods,34705027.75,17871059.96,22.90,8.20,1.24,4.90,3.06,0.01,0.01,2786,0.14,99.53,0.04,0.29,17.50,0.00,230438.30,293702.41,17464595.18,4.01,2.66,2786,59.15,35.71,0.97,4.16,93.91,0.00,554263.23,9046066.80,8712230.79,Mexico,2008
Raw materials,12913579.51,45952875.78,8.52,21.07,1.48,14.31,16.30,0.07,0.00,616,0.00,98.70,0.16,1.14,135.53,0.00,4802.17,20675.47,45743011.09,2.65,3.41,616,26.14,44.32,1.62,27.92,350.00,0.00,37955047.55,44163631.81,1600054.75,Mexico,2008
Animal,3626333.51,981379.40,2.39,0.45,1.49,3.13,6.75,0.40,0.23,311,18.01,78.46,0.32,3.22,25.00,0.00,4802.17,65093.23,916286.17,3.57,2.28,311,43.41,24.12,0.96,31.51,84.27,0.00,4802.17,555858.25,425521.15,Mexico,2008
Chemicals,11790088.35,2772323.13,7.78,1.27,1.10,7.01,4.02,0.00,0.00,1124,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,2772398.10,2.98,2.14,1124,70.37,28.74,0.00,0.89,6.50,0.00,0.00,1680189.75,1092208.35,Mexico,2008
Food Products,3288948.27,5358799.11,2.17,2.46,1.38,4.31,5.69,0.44,0.43,612,9.64,88.89,0.00,1.47,135.53,0.00,0.00,974564.97,4384234.14,8.20,7.89,612,45.10,17.48,7.19,30.23,350.00,0.00,947566.07,3350030.45,2008768.66,Mexico,2008
Footwear,142611.63,303467.27,0.09,0.14,0.14,6.48,9.27,0.00,0.00,168,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,303467.27,8.69,7.25,168,66.67,17.86,3.57,11.90,52.59,0.00,67459.31,294225.20,9242.07,Mexico,2008
Fuels,11119400.39,42506537.63,7.34,19.49,1.21,22.65,26.83,0.00,0.00,48,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,42506537.63,1.48,6.44,48,10.42,37.50,41.67,10.42,17.58,0.00,42195415.71,42195558.97,310978.66,Mexico,2008
Hides and Skins,499284.30,159633.84,0.33,0.07,0.60,-1.53,-8.80,0.00,0.00,198,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,159633.84,4.19,4.18,198,82.83,16.67,0.00,0.51,20.00,0.00,0.00,157858.01,1775.84,Mexico,2008
Mach and Elec,47475366.59,78654356.97,31.33,36.07,0.75,10.10,4.68,0.00,0.00,1174,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,78674081.86,1.46,1.66,1174,48.21,51.36,0.34,0.09,15.00,0.00,117485.50,50124777.26,28549304.61,Mexico,2008
Metals,12447187.52,9681453.46,8.21,4.44,1.15,4.31,2.55,0.00,0.00,803,0.00,99.88,0.12,0.00,0.00,0.00,230438.30,230438.30,9451015.16,1.72,1.43,803,43.71,52.05,3.74,0.50,15.00,0.00,364521.20,4821369.87,4860083.59,Mexico,2008
Minerals,955493.57,595701.92,0.63,0.27,0.86,8.88,32.54,0.00,0.00,78,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,595701.92,0.27,0.03,78,6.41,82.05,2.56,8.97,4.02,0.00,82504.15,108604.54,487097.38,Mexico,2008
Miscellaneous,12500769.29,21472857.47,8.25,9.85,0.58,-17.91,10.18,0.00,0.00,639,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,13754543.62,2.77,1.61,639,44.60,42.88,7.67,4.85,93.91,0.00,109623.60,4614325.11,9140218.52,Mexico,2008
Plastic or Rubber,12502205.26,4091326.61,8.25,1.88,1.45,0.27,-1.06,0.00,0.00,349,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,4071601.43,3.65,4.00,349,79.08,20.92,0.00,0.00,14.00,0.00,0.00,3740627.09,330974.35,Mexico,2008
Stone and Glass,1500355.64,5338159.95,0.99,2.45,0.99,-5.13,-5.29,0.00,0.00,344,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,5338159.95,3.51,2.96,344,66.28,31.98,0.00,1.74,38.00,0.00,0.00,4755955.39,582204.57,Mexico,2008
Textiles and Clothing,4311533.71,5595861.06,2.85,2.57,1.10,-0.75,-4.75,0.00,0.00,1261,0.00,100.00,0.00,0.00,0.00,0.00,0.00,94731.55,5501129.52,9.14,10.77,1261,82.16,12.85,0.32,4.68,32.00,0.00,7.21,5496240.64,99620.43,Mexico,2008
Transportation,15524875.23,32910796.61,10.25,15.09,1.10,-0.33,-1.38,0.00,0.00,210,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,32910796.61,3.02,6.77,210,51.90,48.10,0.00,0.00,25.00,0.00,0.00,32104140.94,806655.66,Mexico,2008
Vegetable,8804625.03,6156692.88,5.81,2.82,1.56,15.84,15.47,0.03,0.00,426,0.00,99.30,0.00,0.70,7.28,0.00,0.00,9091.88,6147526.32,3.91,4.21,426,32.86,21.36,0.47,45.31,163.80,0.00,237218.47,5870009.43,286608.77,Mexico,2008
Wood,5035720.79,1486885.48,3.32,0.68,1.38,2.06,1.28,0.00,0.00,403,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1486885.48,0.67,0.46,403,19.11,79.90,0.00,0.99,18.00,0.00,0.00,233392.59,1253492.88,Mexico,2008
All Products,128997663.33,178321648.37,100.00,100.00,1.00,-12.85,-13.79,0.03,0.02,8074,1.47,98.19,0.02,0.31,126.97,0.00,4437.28,1157463.22,170411537.02,3.86,3.48,8074,55.78,34.30,2.07,7.85,350.00,0.00,27132191.41,125328150.38,46240849.87,Mexico,2009
Capital goods,52686340.42,70003895.85,40.84,39.26,0.74,-10.18,-13.17,0.00,0.00,1317,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,69620303.67,1.53,3.12,1317,46.85,52.16,0.61,0.38,25.00,0.00,17276.36,37269889.79,32350413.89,Mexico,2009
Consumer goods,33003559.40,56548391.07,25.58,31.71,1.14,-16.07,-15.24,0.05,0.04,3284,3.41,96.22,0.03,0.33,25.00,0.00,27.69,1065290.87,55829712.80,5.16,3.95,3284,61.69,24.09,3.56,10.66,131.80,0.00,3993369.71,49888928.73,7006074.95,Mexico,2009
Intermediate goods,28523652.88,14458561.98,22.11,8.11,1.29,-13.88,-13.04,0.01,0.01,2777,0.25,99.53,0.00,0.22,17.50,0.00,0.00,69064.37,14311444.16,4.09,3.32,2777,58.59,36.15,1.19,4.07,350.00,0.00,319666.18,8832451.27,5548057.26,Mexico,2009
Raw materials,9388850.57,30558151.34,7.28,17.14,1.55,-16.02,-15.18,0.07,0.00,601,0.00,98.50,0.17,1.33,126.97,0.00,4409.59,23107.98,30371142.82,2.75,3.58,601,26.46,44.43,1.50,27.62,350.00,0.00,22801879.16,29223418.55,1170832.24,Mexico,2009
Animal,2894258.85,1092902.61,2.24,0.61,1.57,-11.04,-9.76,0.42,0.17,333,17.42,78.68,0.60,3.30,25.00,0.00,4437.28,57799.41,1035103.20,3.68,2.16,333,42.64,24.32,2.10,30.93,99.45,0.00,4437.28,672365.18,420537.43,Mexico,2009
Chemicals,10762876.75,2287684.94,8.34,1.28,1.15,-9.00,-7.92,0.00,0.00,1087,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,2287686.07,2.95,2.17,1087,70.29,28.98,0.00,0.74,6.50,0.00,0.00,1338176.96,949509.11,Mexico,2009
Food Products,3166091.76,5522421.49,2.45,3.10,1.34,-4.52,-6.85,0.44,0.43,625,9.76,88.48,0.00,1.76,126.97,0.00,0.00,1079365.84,4443055.65,8.81,9.17,625,43.36,18.08,7.04,31.52,350.00,0.00,986756.66,3549169.87,1973251.62,Mexico,2009
Footwear,104007.81,298686.65,0.08,0.17,0.14,-9.17,-9.67,0.00,0.00,167,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,298686.65,8.88,7.56,167,67.07,17.37,3.59,11.98,51.97,0.00,57353.37,287940.55,10746.10,Mexico,2009
Fuels,7716105.26,25624336.20,5.98,14.37,1.43,-26.53,-20.92,0.00,0.00,49,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,25624336.20,1.40,6.49,49,10.20,38.78,40.82,10.20,17.50,0.00,25454316.86,25454341.98,169994.21,Mexico,2009
Hides and Skins,315207.40,133933.25,0.24,0.08,0.64,-17.84,-16.23,0.00,0.00,195,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,133933.25,4.30,4.44,195,83.59,15.90,0.00,0.51,20.00,0.00,0.00,131954.19,1979.06,Mexico,2009
Mach and Elec,44379697.84,68379697.65,34.40,38.35,0.68,-8.72,-13.48,0.00,0.00,1128,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,68402058.05,1.43,1.50,1128,48.32,51.24,0.35,0.09,15.00,0.00,113803.85,39541626.60,28860431.46,Mexico,2009
Metals,9249784.51,6095732.65,7.17,3.42,1.16,-17.65,-18.37,0.00,0.00,796,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,6095732.65,1.71,1.66,796,43.09,52.39,3.52,1.01,15.00,0.00,75815.22,3307277.41,2788455.24,Mexico,2009
Minerals,384490.71,314398.01,0.30,0.18,0.71,-34.79,-41.38,0.00,0.00,75,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,314398.01,0.35,0.07,75,9.33,82.67,2.67,5.33,3.41,0.00,33470.10,72521.90,241876.11,Mexico,2009
Miscellaneous,12297140.92,18923608.04,9.53,10.61,0.72,-13.14,-4.70,0.00,0.00,657,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,12170959.91,2.93,1.54,657,45.36,42.01,7.76,4.87,96.25,0.00,108156.15,4092219.40,8078740.50,Mexico,2009
Plastic or Rubber,11040940.89,3532525.07,8.56,1.98,1.46,-11.53,-12.17,0.00,0.00,338,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,3510163.54,3.79,4.08,338,80.47,19.53,0.00,0.00,14.00,0.00,0.00,3313322.44,196841.10,Mexico,2009
Stone and Glass,1507759.43,6409662.52,1.17,3.59,1.18,-12.83,-5.62,0.00,0.00,363,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,6409662.52,3.48,2.69,363,64.19,33.88,0.00,1.93,38.00,0.00,0.00,5947183.23,462479.28,Mexico,2009
Textiles and Clothing,3671778.29,4832067.08,2.85,2.71,1.10,-11.16,-11.88,0.00,0.00,1239,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,4832067.08,9.26,10.47,1239,83.21,12.11,0.24,4.44,32.00,0.00,61.18,4749779.51,82287.56,Mexico,2009
Transportation,10567823.60,27361803.07,8.19,15.34,1.10,-17.22,-18.01,0.00,0.00,202,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,27361803.07,2.90,7.20,202,51.98,48.02,0.00,0.00,25.00,0.00,0.00,26700645.35,661157.73,Mexico,2009
Vegetable,6556968.70,6283857.19,5.08,3.52,1.59,-14.24,-14.34,0.03,0.00,433,0.00,99.31,0.00,0.69,6.58,0.00,0.00,20297.97,6263559.22,3.75,4.16,433,33.49,22.17,0.46,43.88,163.80,0.00,298020.74,5992210.92,291646.28,Mexico,2009
Wood,4382730.62,1228331.95,3.40,0.69,1.48,-11.04,-8.96,0.00,0.00,387,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1228331.95,0.60,0.42,387,17.57,81.65,0.00,0.78,18.00,0.00,0.00,177414.88,1050917.07,Mexico,2009
All Products,163664583.21,232251414.68,100.00,100.00,1.00,13.41,13.56,0.03,0.01,8092,1.50,98.27,0.01,0.22,25.00,0.00,4964.11,1377021.96,223556945.35,3.78,3.55,8092,56.08,34.32,1.92,7.69,350.00,0.00,35895994.79,164095707.60,60838259.72,Mexico,2010
Capital goods,66413495.63,97442443.10,40.58,41.96,0.73,13.13,12.74,0.00,0.00,1348,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,97042451.65,1.50,3.40,1348,46.14,52.97,0.52,0.37,25.00,0.00,31606.51,54003157.88,43039293.76,Mexico,2010
Consumer goods,44446573.74,67689450.39,27.16,29.14,1.18,14.03,16.15,0.06,0.04,3280,3.51,96.31,0.00,0.18,25.00,0.00,0.00,1261067.51,66752660.37,5.11,4.03,3280,62.32,24.30,3.17,10.21,131.80,0.00,5171009.36,60087293.62,7926434.26,Mexico,2010
Intermediate goods,35285177.58,20177189.59,21.56,8.69,1.26,13.77,12.61,0.01,0.01,2782,0.22,99.57,0.00,0.22,17.50,0.00,0.00,93312.95,19915845.92,4.01,2.69,2782,59.17,35.51,1.15,4.17,350.00,0.00,295262.14,11637988.23,8371170.64,Mexico,2010
Raw materials,10860305.56,39904856.47,6.64,17.18,1.50,11.24,9.57,0.02,0.00,590,0.00,98.81,0.17,1.02,7.19,0.00,4964.11,22641.51,39587440.25,2.56,3.48,590,25.76,44.07,2.03,28.14,350.00,0.00,30398116.77,38234573.93,1375507.83,Mexico,2010
Animal,3313630.62,1242519.61,2.02,0.54,1.55,9.52,9.20,0.38,0.16,304,18.42,79.28,0.33,1.97,25.00,0.00,4964.11,66324.04,1176095.62,3.13,2.53,304,43.42,25.99,1.97,28.62,87.38,0.00,5173.07,927569.91,314849.75,Mexico,2010
Chemicals,12103506.17,2765119.16,7.40,1.19,1.12,9.22,8.06,0.00,0.00,1119,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,2765072.03,3.00,2.06,1119,71.31,27.79,0.00,0.89,6.50,0.00,0.00,1517970.22,1247101.81,Mexico,2010
Food Products,3671883.94,6363278.76,2.24,2.74,1.36,5.67,6.59,0.39,0.45,634,10.25,88.33,0.00,1.42,20.00,0.00,0.00,1289089.29,5073668.72,8.46,9.77,634,45.27,16.72,6.78,31.23,350.00,0.00,1259645.10,4280083.27,2082674.74,Mexico,2010
Footwear,142176.41,372298.78,0.09,0.16,0.13,13.51,9.71,0.00,0.00,170,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,372202.37,8.61,9.02,170,66.47,18.24,3.53,11.76,50.70,0.00,60950.78,354592.34,17610.03,Mexico,2010
Fuels,14257996.76,34082633.53,8.71,14.67,1.46,23.55,25.16,0.00,0.00,45,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,33892326.78,1.79,6.58,45,11.11,33.33,44.44,11.11,16.83,0.00,33716894.52,33716950.25,175376.53,Mexico,2010
Hides and Skins,425542.10,151828.91,0.26,0.07,0.70,14.59,20.34,0.00,0.00,193,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,151836.13,4.19,4.29,193,83.42,16.06,0.00,0.52,20.00,0.00,0.00,148737.90,3098.23,Mexico,2010
Mach and Elec,56321119.26,87904953.02,34.41,37.85,0.67,13.16,11.77,0.00,0.00,1163,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,87923890.26,1.41,1.45,1163,47.12,52.45,0.34,0.09,12.50,0.00,111195.55,49166105.92,38757784.35,Mexico,2010
Metals,12242953.96,7893197.30,7.48,3.40,1.15,17.08,16.98,0.00,0.00,806,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,7890533.88,1.72,1.53,806,42.56,52.23,3.47,1.74,15.00,0.00,57927.97,3974789.36,3915744.52,Mexico,2010
Minerals,499737.76,463868.06,0.31,0.20,0.91,22.92,39.20,0.00,0.00,72,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,464922.52,0.35,0.08,72,8.33,81.94,2.78,6.94,3.52,0.00,59438.02,129250.04,335672.48,Mexico,2010
Miscellaneous,13385236.45,22710362.43,8.18,9.78,0.71,9.47,9.54,0.00,0.00,624,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,15678529.18,2.66,1.46,624,45.99,43.43,6.73,3.85,100.41,0.00,127806.98,5035827.11,10642702.07,Mexico,2010
Plastic or Rubber,13574511.91,4467230.87,8.29,1.92,1.46,17.45,17.60,0.00,0.00,346,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,4439690.72,3.73,3.99,346,80.06,19.94,0.00,0.00,14.00,0.00,0.00,4118718.22,320972.50,Mexico,2010
Stone and Glass,1832497.86,8757361.19,1.12,3.77,1.15,13.03,11.61,0.00,0.00,360,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,8669243.42,3.47,2.53,360,63.89,34.44,0.00,1.67,38.00,0.00,0.00,8143229.31,526014.11,Mexico,2010
Textiles and Clothing,4514901.10,5191306.27,2.76,2.24,1.11,9.73,10.03,0.00,0.00,1247,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,5191238.07,9.07,10.37,1247,82.92,12.19,0.16,4.73,32.00,0.00,10959.31,5095873.07,95365.01,Mexico,2010
Transportation,15056900.69,40899072.60,9.20,17.61,1.14,15.40,17.91,0.00,0.00,209,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,40903402.58,2.79,7.43,209,52.15,47.85,0.00,0.00,25.00,0.00,0.00,40015999.46,887403.12,Mexico,2010
Vegetable,7124583.03,7587823.64,4.35,3.27,1.55,5.06,3.83,0.02,0.00,422,0.00,99.29,0.00,0.71,5.97,0.00,0.00,21608.63,7565764.64,3.79,4.07,422,32.94,21.80,0.47,44.79,163.80,0.00,486003.48,7285117.03,302256.24,Mexico,2010
Wood,5197405.20,1398560.53,3.18,0.60,1.47,9.70,9.65,0.00,0.00,378,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1398528.44,0.65,0.37,378,18.25,80.95,0.00,0.79,18.00,0.00,0.00,184894.19,1213634.25,Mexico,2010
All Products,198288689.23,265113824.43,100.00,100.00,1.00,7.88,9.65,0.06,0.02,8161,1.51,98.03,0.02,0.44,163.80,0.00,2209.04,1499575.80,256817171.60,3.79,3.57,8161,55.56,34.70,1.85,7.89,350.00,0.00,46592090.59,193778379.46,64538367.94,Mexico,2011
Capital goods,76906778.52,107586704.46,38.79,40.58,0.72,5.55,6.45,0.00,0.00,1364,0.00,99.63,0.00,0.37,0.00,0.00,0.00,0.00,107210172.51,1.54,3.40,1364,46.33,52.57,0.37,0.73,25.00,0.00,34808.35,63176009.68,44034162.84,Mexico,2011
Consumer goods,56625618.33,72640838.35,28.56,27.40,1.21,9.58,12.70,0.08,0.05,3304,3.45,96.04,0.03,0.48,131.80,0.00,50.09,1380423.05,71596408.73,5.19,4.24,3304,61.59,24.30,3.33,10.77,350.00,0.00,5770334.56,64285528.03,8691303.75,Mexico,2011
