Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Country,Year
Transportation,2719217.50,1703325.76,14.18,1.67,2.14,25.33,17.93,2.14,3.81,185,50.27,49.73,0.00,0.00,25.00,0.00,0.00,1645678.86,228798.47,2.14,3.81,185,50.27,49.73,0.00,0.00,25.00,0.00,0.00,1645678.86,228798.47,China,2001
Vegetable,1138470.82,279499.46,5.94,0.27,2.28,1.53,-1.02,3.24,2.19,346,31.21,27.75,0.00,41.04,46.53,0.00,0.00,254612.15,55026.32,3.24,2.19,346,31.21,27.75,0.00,41.04,46.53,0.00,0.00,254612.15,55026.32,China,2001
Wood,869635.66,2156963.44,4.53,2.11,1.16,-2.14,-3.69,1.09,2.04,339,52.21,45.43,0.00,2.36,18.00,0.00,0.00,2006010.54,391915.68,1.09,2.04,339,52.21,45.43,0.00,2.36,18.00,0.00,0.00,2006010.54,391915.68,China,2001
All Products,22127509.05,133510392.72,100.00,100.00,1.00,10.09,1.97,4.07,3.86,8794,59.78,30.46,2.08,7.68,350.00,0.00,1398042.52,74780769.34,57286943.54,4.07,3.86,8794,59.78,30.46,2.08,7.68,350.00,0.00,1398042.52,74780769.34,57286943.54,China,2002
Capital goods,12255375.47,37195491.04,55.39,27.86,1.14,13.83,-0.09,1.48,0.65,1533,43.31,55.77,0.59,0.33,25.00,0.00,29231.37,11783809.98,25383740.17,1.48,0.65,1533,43.31,55.77,0.59,0.33,25.00,0.00,29231.37,11783809.98,25383740.17,China,2002
Consumer goods,1772241.14,84379546.81,8.01,63.20,0.86,9.89,8.42,5.10,5.13,3239,63.79,23.19,3.98,9.05,246.47,0.00,984579.39,57801716.35,26566898.97,5.10,5.13,3239,63.79,23.19,3.98,9.05,246.47,0.00,984579.39,57801716.35,26566898.97,China,2002
Intermediate goods,3934313.47,8866735.46,17.78,6.64,0.77,8.18,6.95,4.77,5.84,3377,68.55,22.92,1.21,7.31,199.26,0.00,187446.41,4563905.74,4276325.43,4.77,5.84,3377,68.55,22.92,1.21,7.31,199.26,0.00,187446.41,4563905.74,4276325.43,China,2002
Raw materials,3260907.90,1654664.50,14.74,1.24,1.17,2.50,-1.51,2.05,0.85,547,23.95,51.55,0.73,23.77,350.00,0.00,196785.35,582152.40,1056174.51,2.05,0.85,547,23.95,51.55,0.73,23.77,350.00,0.00,196785.35,582152.40,1056174.51,China,2002
Animal,273692.55,962184.80,1.24,0.72,3.05,7.24,11.39,1.77,0.16,121,24.79,66.12,0.83,8.26,173.28,0.00,3843.08,93551.84,868273.62,1.77,0.16,121,24.79,66.12,0.83,8.26,173.28,0.00,3843.08,93551.84,868273.62,China,2002
Chemicals,1467887.51,2467904.63,6.63,1.85,1.48,12.97,17.47,3.14,2.46,1461,63.31,28.88,0.00,7.80,10.20,0.00,0.00,1469819.32,997705.16,3.14,2.46,1461,63.31,28.88,0.00,7.80,10.20,0.00,0.00,1469819.32,997705.16,China,2002
